bus_id,station_id,voltage,dc,symbol,under_construction,lon,lat
1413,1781,220,f,Substation,f,2.870178,39.67337
1415,1783,220,f,Substation,f,3.02124,39.761047
1417,1784,220,f,Substation,f,3.197021,39.590874
1416,1784,132,f,Substation,f,3.197021,39.590874
1418,1785,132,f,Substation,f,4.199524,39.87075
1419,1787,132,f,Substation,f,4.269562,39.923429
1420,1788,220,f,Substation,f,2.893524,36.727878
1421,1789,220,f,Substation,f,2.813873,36.600094
1422,1790,220,f,Substation,f,2.857819,36.651894
1423,1791,220,f,Substation,f,2.988281,36.767492
1424,1792,220,f,Substation,f,3.034973,36.677231
1425,1794,220,f,Substation,f,3.135223,36.641978
1426,1795,220,f,Substation,f,3.228607,36.700356
1427,1796,220,f,Substation,f,3.408508,36.623243
1429,1798,380,f,Substation,f,3.733978,36.81808
1430,1800,220,f,Substation,f,3.854828,36.706963
1431,1801,220,f,Substation,f,4.154205,36.698154
1432,1802,220,f,Substation,f,4.438477,36.836767
1433,1803,220,f,Substation,f,4.655457,36.68494
1434,1804,220,f,Substation,f,5.044098,36.733381
1435,1805,220,f,Substation,f,5.608521,36.737784
1436,1806,380,f,Substation,f,-5.266571,40.734771
1437,1808,220,f,Substation,f,-5.318756,40.265904
1438,1809,220,f,Substation,f,-5.289917,40.051796
1439,1810,220,f,Substation,f,-4.932861,40.374798
1440,1811,220,f,Substation,f,-4.905396,40.69001
1441,1812,220,f,Substation,f,-4.920502,40.513799
1442,1813,220,f,Substation,f,-4.438477,40.691052
1443,1814,220,f,Substation,f,-4.266815,40.686886
1444,1815,220,f,Substation,f,-4.86969,40.180972
1445,1816,220,f,Substation,f,-4.596405,40.422906
1447,1817,380,f,Substation,f,-4.658203,39.93396
1446,1817,220,f,Substation,f,-4.658203,39.93396
1448,1818,220,f,Substation,f,-4.317627,40.392581
1449,1819,220,f,Substation,f,-4.3396,40.27743
1450,1820,220,f,Substation,f,-4.457703,39.982382
1451,1821,220,f,Substation,f,-4.244843,40.12009
1452,1822,220,f,Substation,f,-4.264069,40.039181
1453,1823,380,f,Substation,f,-5.243225,39.305613
1454,1825,220,f,Substation,t,-4.860077,39.585582
1455,1826,220,f,Substation,f,-4.568939,39.423464
1457,1827,380,f,Substation,f,-3.996277,40.794058
1456,1827,220,f,Substation,f,-3.996277,40.794058
1458,1828,220,f,Substation,f,-4.161072,40.614995
1459,1829,220,f,Substation,f,-4.044342,40.656681
1460,1830,220,f,Substation,f,-3.912506,40.692093
1461,1831,220,f,Substation,f,-3.939972,40.491871
1462,1832,220,f,Substation,f,-3.66394,40.88341
1463,1833,220,f,Substation,f,-3.864441,40.592057
1464,1834,220,f,Substation,f,-3.761444,40.465756
1465,1835,220,f,Substation,f,-3.530731,40.489782
1466,1836,220,f,Substation,f,-4.075928,40.432314
1467,1837,220,f,Substation,f,-4.044342,40.265904
1468,1838,220,f,Substation,f,-3.927612,40.229218
1469,1839,220,f,Substation,f,-4.123993,40.173627
1470,1840,220,f,Substation,f,-4.113007,40.060206
1471,1841,220,f,Substation,f,-4.100647,39.970806
1472,1842,220,f,Substation,f,-3.988037,40.078071
1473,1843,220,f,Substation,f,-3.904266,40.154736
1474,1844,220,f,Substation,f,-3.860321,40.336077
1475,1845,220,f,Substation,f,-3.609009,40.266952
1476,1846,220,f,Substation,f,-3.861694,40.080173
1477,1847,220,f,Substation,f,-3.696899,40.11694
1478,1848,220,f,Substation,f,-3.779297,39.96028
1479,1849,220,f,Substation,f,-3.593903,40.177824
1480,1850,220,f,Substation,f,-3.570557,40.027614
1481,1851,220,f,Substation,f,-3.490906,40.735812
1482,1852,380,f,Substation,f,-3.2341,40.746217
1483,1853,220,f,Substation,f,-3.46344,40.578499
1484,1854,220,f,Substation,f,-3.392029,40.492915
1485,1855,380,f,Substation,f,-2.918243,40.548244
1486,1856,220,f,Substation,f,-3.273926,40.431269
1487,1857,220,f,Substation,f,-3.166809,40.37689
1488,1858,220,f,Substation,f,-3.317871,40.153687
1489,1859,220,f,Substation,f,-3.308258,39.920269
1490,1860,220,f,Substation,f,-3.2341,39.962386
1491,1861,220,f,Substation,f,-3.161316,40.002372
1492,1862,220,f,Substation,f,-4.077301,39.675484
1493,1863,220,f,Substation,f,-3.990784,39.86548
1494,1864,220,f,Substation,f,-4.036102,39.740986
1495,1865,220,f,Substation,f,-3.890533,39.664914
1497,1866,380,f,Substation,f,-4.11438,39.582407
1496,1866,220,f,Substation,f,-4.11438,39.582407
1498,1867,220,f,Substation,f,-4.055328,39.426647
1499,1868,220,f,Substation,f,-3.911133,39.462704
1500,1869,220,f,Substation,f,-3.657074,39.826468
1501,1871,220,f,Substation,f,-3.994904,39.311988
1502,1872,220,f,Substation,f,-3.883667,39.221615
1503,1873,220,f,Substation,f,-4.121246,38.942321
1504,1874,220,f,Substation,f,-3.956451,38.982898
1505,1875,220,f,Substation,f,-3.857574,39.305613
1506,1876,220,f,Substation,f,-3.773804,38.938048
1507,1877,220,f,Substation,f,-3.514252,39.83385
1508,1878,220,f,Substation,f,-3.403015,39.874966
1510,1879,380,f,Substation,t,-3.412628,39.735706
1509,1879,220,f,Substation,t,-3.412628,39.735706
1511,1880,220,f,Substation,f,-3.239594,39.656456
1512,1881,220,f,Substation,f,-3.460693,39.41816
1513,1882,220,f,Substation,f,-3.316498,39.488145
1514,1883,220,f,Substation,f,-3.4758,39.24608
1516,1884,380,f,Substation,f,-3.345337,38.942321
1515,1884,220,f,Substation,f,-3.345337,38.942321
1517,1885,220,f,Substation,f,-3.203888,39.067181
1519,1887,380,f,Substation,f,-5.52063,37.792422
1518,1887,220,f,Substation,f,-5.52063,37.792422
1520,1889,380,f,Substation,f,35.753632,41.372686
1521,1890,220,f,Substation,f,-5.131989,37.721849
1522,1891,220,f,Substation,f,-4.637604,38.451438
1524,1892,380,f,Substation,f,-4.5401,38.60614
1523,1892,220,f,Substation,f,-4.5401,38.60614
1525,1893,220,f,Substation,f,-4.573059,38.240337
1526,1894,220,f,Substation,f,-4.777679,37.906283
1527,1895,220,f,Substation,f,-4.876556,37.846664
1528,1896,220,f,Substation,f,-4.714508,37.964771
1529,1897,220,f,Substation,f,-4.96582,37.541311
1531,1898,380,f,Substation,f,-5.619507,37.132951
1530,1898,220,f,Substation,f,-5.619507,37.132951
1533,1899,380,f,Substation,f,-5.169067,36.659606
1532,1899,220,f,Substation,f,-5.169067,36.659606
1534,1900,380,f,Substation,f,-4.470062,37.348326
1535,1901,380,f,Substation,f,-4.319,37.244542
1536,1903,380,f,Substation,f,-4.736481,37.111051
1538,1906,380,f,Substation,f,-4.65271,36.881818
1537,1906,220,f,Substation,f,-4.65271,36.881818
1540,1907,380,f,Substation,f,-4.76532,36.726778
1539,1907,220,f,Substation,f,-4.76532,36.726778
1541,1908,220,f,Substation,f,-4.64859,36.658505
1542,1909,220,f,Substation,f,-4.290161,37.086953
1543,1910,220,f,Substation,f,-4.432983,36.75429
1544,1911,220,f,Substation,f,-4.530487,36.686041
1545,1912,220,f,Substation,f,-4.291534,36.823577
1546,1913,220,f,Substation,f,-4.151459,38.717662
1547,1914,220,f,Substation,f,-4.108887,38.807611
1548,1915,220,f,Substation,f,-4.174805,38.629745
1549,1917,220,f,Substation,f,-4.066315,38.522384
1551,1918,380,f,Substation,f,-4.21875,38.088094
1550,1918,220,f,Substation,f,-4.21875,38.088094
1552,1919,220,f,Substation,f,-4.047089,38.067555
1553,1920,220,f,Substation,f,-3.850708,37.7718
1555,1922,380,f,Substation,f,-3.990784,37.216112
1554,1922,220,f,Substation,f,-3.990784,37.216112
1556,1923,220,f,Substation,f,-3.953705,37.035447
1557,1924,220,f,Substation,f,-3.79303,37.011326
1558,1925,220,f,Substation,f,-3.613129,37.154844
1559,1928,220,f,Substation,t,-3.554077,36.785092
1560,1929,380,f,Substation,f,-3.301392,37.211738
1561,1931,220,f,Substation,f,-3.460693,36.90598
1562,1933,220,f,Substation,t,-3.195648,36.802687
1563,1934,220,f,Substation,f,-2.866058,36.849956
1564,1935,220,f,Substation,f,-2.809753,40.647304
1565,1936,220,f,Substation,f,-2.642212,40.514843
1567,1937,380,f,Substation,f,-2.238464,40.806533
1566,1937,220,f,Substation,f,-2.238464,40.806533
1568,1939,380,f,Substation,f,-2.331848,40.529458
1569,1940,220,f,Substation,t,-2.5914,40.431269
1570,1942,380,f,Substation,f,-2.337341,40.427088
1572,1943,380,f,Substation,f,-2.412872,40.269048
1571,1943,220,f,Substation,f,-2.412872,40.269048
1573,1944,220,f,Substation,f,-2.171173,40.223976
1574,1945,220,f,Substation,f,-2.410126,40.13899
1575,1946,220,f,Substation,f,-1.775665,40.93219
1576,1947,220,f,Substation,f,-1.601257,40.497092
1577,1948,220,f,Substation,f,-1.877289,40.389443
1579,1949,380,f,Substation,f,-2.584534,39.822249
1578,1949,220,f,Substation,f,-2.584534,39.822249
1580,1950,220,f,Substation,f,-2.469177,39.737818
1581,1951,380,f,Substation,f,-2.377167,39.659628
1582,1952,220,f,Substation,f,-2.345581,39.749434
1583,1953,220,f,Substation,f,-2.16156,39.70613
1584,1954,380,f,Substation,f,-1.903381,39.864425
1586,1955,380,f,Substation,f,-2.081909,39.494504
1585,1955,220,f,Substation,f,-2.081909,39.494504
1587,1957,380,f,Substation,f,-1.573792,39.744154
1588,1958,380,f,Substation,f,-1.476288,39.483905
1589,1959,380,f,Substation,f,-1.985779,39.018117
1590,1961,220,f,Substation,f,-0.914612,40.760781
1591,1962,220,f,Substation,f,-0.712738,40.876141
1592,1963,220,f,Substation,f,-0.822601,40.843944
1594,1964,380,f,Substation,f,-0.709991,40.726446
1593,1964,220,f,Substation,f,-0.709991,40.726446
1595,1965,220,f,Substation,f,-0.943451,40.09068
1596,1966,220,f,Substation,f,-0.799255,39.992904
1597,1969,380,f,Substation,f,-0.328217,40.556591
1598,1970,220,f,Substation,f,-0.466919,40.152637
1599,1971,220,f,Substation,f,-0.514984,40.031821
1601,1972,380,f,Substation,f,-0.226593,40.126391
1600,1972,220,f,Substation,f,-0.226593,40.126391
1602,1973,220,f,Substation,t,-0.211487,40.002372
1604,1974,380,f,Substation,f,-1.333466,39.469065
1603,1974,220,f,Substation,f,-1.333466,39.469065
1606,1975,380,f,Substation,f,-0.74707,39.671256
1605,1975,220,f,Substation,f,-0.74707,39.671256
1607,1976,220,f,Substation,f,-0.745697,39.531585
1608,1977,380,f,Substation,f,-1.360931,39.208847
1609,1979,380,f,Substation,t,-1.266174,38.847195
1610,1982,380,f,Substation,f,-0.797882,39.196077
1611,1983,380,f,Substation,f,-0.878906,39.136452
1612,1984,380,f,Substation,f,-1.040955,39.008513
1613,1985,220,f,Substation,f,-0.578156,39.644825
1614,1986,380,f,Substation,f,-0.380402,39.740986
1615,1987,220,f,Substation,f,-0.63446,39.507219
1616,1988,220,f,Substation,f,-0.475159,39.601456
1617,1989,220,f,Substation,f,-0.458679,39.507219
1618,1990,220,f,Substation,f,-0.422974,39.531585
1620,1991,380,f,Substation,f,-0.480652,39.445738
1619,1991,220,f,Substation,f,-0.480652,39.445738
1621,1992,220,f,Substation,f,-0.2211,39.86548
1623,1993,380,f,Substation,f,-0.232086,39.762103
1622,1993,220,f,Substation,f,-0.232086,39.762103
1625,1996,220,f,Substation,f,-0.135956,39.814865
1626,1997,220,f,Substation,f,-0.314484,39.583466
1627,1998,220,f,Substation,f,-0.351563,39.469065
1629,1999,380,f,Substation,f,-0.541077,39.255651
1628,1999,220,f,Substation,f,-0.541077,39.255651
1630,2000,220,f,Substation,f,-0.395508,39.357662
1631,2001,220,f,Substation,f,-0.388641,39.22587
1632,2002,220,f,Substation,f,-0.418854,39.135386
1633,2003,220,f,Substation,f,-0.556183,39.013849
1634,2004,220,f,Substation,t,-0.324097,39.299236
1635,2005,220,f,Substation,f,-0.266418,39.104489
1636,2006,220,f,Substation,t,-0.190887,38.863236
1637,2007,220,f,Substation,f,-0.149689,38.949797
1638,2008,380,f,Substation,f,-1.628723,38.790486
1639,2009,380,f,Substation,f,-1.433716,38.485845
1640,2010,380,f,Substation,f,-1.573792,37.913867
1642,2011,380,f,Substation,f,-2.764435,37.032158
1641,2011,220,f,Substation,f,-2.764435,37.032158
1643,2012,380,f,Substation,f,-1.555939,37.453057
1644,2014,380,f,Substation,f,-1.906128,37.002553
1645,2015,380,f,Substation,f,-1.143951,38.279157
1646,2016,380,f,Substation,f,-1.010742,38.605066
1648,2017,380,f,Substation,f,-0.705872,38.773358
1647,2017,220,f,Substation,f,-0.705872,38.773358
1649,2018,220,f,Substation,f,-0.704498,38.575011
1650,2019,220,f,Substation,f,-0.810242,38.533127
1651,2020,220,f,Substation,f,-0.799255,38.373962
1652,2021,220,f,Substation,f,-0.722351,38.405178
1653,2022,220,f,Substation,f,-0.737457,38.308258
1654,2023,220,f,Substation,f,-1.167297,38.031867
1656,2024,380,f,Substation,f,-1.198883,37.916034
1655,2024,220,f,Substation,f,-1.198883,37.916034
1657,2025,380,f,Substation,f,-1.075287,37.742485
1658,2026,220,f,Substation,t,-0.731964,38.22955
1659,2027,220,f,Substation,f,-1.006622,37.917118
1660,2028,380,f,Substation,t,-0.881653,37.996163
1661,2029,220,f,Substation,f,-0.75943,37.951778
1662,2030,220,f,Substation,f,-0.76355,37.871601
1663,2031,220,f,Substation,f,-0.822601,37.775057
1664,2032,220,f,Substation,f,-0.53833,38.598627
1665,2033,220,f,Substation,f,-0.535583,38.465418
1666,2034,220,f,Substation,f,-0.455933,38.372886
1667,2035,220,f,Substation,f,-0.032959,38.719805
1668,2036,220,f,Substation,f,-0.167542,38.547091
1669,2037,220,f,Substation,f,-0.670166,38.174512
1670,2038,220,f,Substation,t,-0.54245,38.219841
1671,2039,220,f,Substation,t,-0.677032,38.093498
1672,2040,220,f,Substation,f,-0.683899,38.002656
1674,2041,380,f,Substation,f,-1.007996,37.601176
1673,2041,220,f,Substation,f,-1.007996,37.601176
1676,2042,380,f,Substation,f,-0.803375,37.607704
1675,2042,220,f,Substation,f,-0.803375,37.607704
1677,2045,220,f,Substation,f,-8.631134,40.75766
1679,2046,380,f,Substation,f,-8.567963,40.489782
1678,2046,220,f,Substation,f,-8.567963,40.489782
1680,2048,380,f,Substation,f,-8.887939,40.013943
1682,2051,220,f,Substation,f,-8.701172,39.930801
1683,2052,220,f,Substation,f,-8.502045,40.156836
1684,2053,220,f,Substation,f,-9.306793,39.078908
1686,2054,380,f,Substation,f,-8.997803,39.370402
1685,2054,220,f,Substation,f,-8.997803,39.370402
1687,2057,380,f,Substation,f,-8.776703,39.684997
1688,2058,220,f,Substation,f,-8.481445,39.890773
1689,2059,380,f,Substation,f,-9.019775,39.098095
1692,2061,220,f,Substation,f,-8.973083,39.038386
1694,2062,380,f,Substation,f,-9.139252,38.928434
1693,2062,220,f,Substation,f,-9.139252,38.928434
1695,2063,220,f,Substation,f,-9.087067,38.837568
1696,2065,220,f,Substation,f,-8.677826,39.2716
1697,2066,220,f,Substation,f,-9.391937,38.718733
1699,2067,380,f,Substation,f,-9.287567,38.8044
1698,2067,220,f,Substation,f,-9.287567,38.8044
1700,2068,220,f,Substation,f,-9.249115,38.715519
1701,2069,220,f,Substation,f,-9.157104,38.814031
1702,2070,220,f,Substation,f,-9.154358,38.733732
1703,2071,220,f,Substation,f,-9.124146,38.757296
1704,2072,220,f,Substation,f,-9.0802,38.629745
1705,2073,380,f,Substation,f,-9.113159,38.566422
1706,2074,380,f,Substation,f,-8.916779,38.779781
1707,2075,380,f,Substation,f,-8.824768,38.585747
1708,2076,380,f,Substation,t,-8.532257,38.756225
1709,2078,380,f,Substation,f,-8.783569,38.014558
1711,2080,380,f,Substation,f,-8.389435,40.95916
1712,2083,220,f,Substation,f,-8.408661,40.632714
1713,2085,380,f,Substation,f,-7.977448,40.743095
1715,2086,380,f,Substation,f,-7.785187,40.949825
1714,2086,220,f,Substation,f,-7.785187,40.949825
1716,2087,380,f,Substation,f,-7.789307,40.875103
1717,2089,220,f,Substation,f,-7.834625,40.459487
